timestamp,user_id,role,patient_id,action,department,device,location,label,hour,risk_score,reasons,risk_level
2026-02-04 07:19:15,U101,doctor,P067,view,cardiology,desktop,ward,0,7,3,Access outside working hours,Normal
2026-02-01 08:24:38,U101,doctor,P097,update,cardiology,mobile,ICU,0,8,1,Access from mobile device,Normal
2026-02-02 11:19:27,U202,nurse,P052,view,orthopedics,desktop,ICU,0,11,0,,Normal
2026-02-01 18:33:22,U201,nurse,P133,view,cardiology,desktop,ward,0,18,0,,Normal
2026-02-02 14:07:14,U201,nurse,P149,view,cardiology,mobile,ICU,0,14,1,Access from mobile device,Normal
2026-02-01 12:28:09,U201,nurse,P043,view,cardiology,desktop,ICU,0,12,0,,Normal
2026-02-04 10:03:16,U202,nurse,P156,view,orthopedics,desktop,ward,0,10,0,,Normal
2026-02-04 23:02:03,U201,nurse,P064,view,neurology,mobile,home,1,23,7,"Access outside working hours, Access from home location, Access from mobile device",Suspicious
2026-02-03 11:48:21,U202,nurse,P089,view,orthopedics,desktop,ICU,0,11,0,,Normal
2026-02-02 18:04:14,U201,nurse,P082,view,cardiology,desktop,ICU,0,18,0,,Normal
2026-02-05 16:51:27,U102,doctor,P081,update,neurology,desktop,ICU,0,16,0,,Normal
2026-02-02 17:28:17,U301,admin,P139,export,admin,desktop,office,0,17,6,Export action (data leakage risk),Suspicious
2026-02-02 18:53:56,U201,nurse,P068,view,cardiology,desktop,ward,0,18,0,,Normal
2026-02-05 11:59:03,U201,nurse,P048,view,cardiology,mobile,ward,0,11,1,Access from mobile device,Normal
2026-02-02 03:45:18,U202,nurse,P161,view,orthopedics,desktop,ward,0,3,3,Access outside working hours,Normal
2026-02-01 17:29:33,U101,doctor,P022,update,cardiology,desktop,ward,0,17,0,,Normal
2026-02-04 00:38:09,U201,nurse,P147,view,cardiology,mobile,ICU,0,0,4,"Access outside working hours, Access from mobile device",Suspicious
2026-02-04 01:50:26,U301,admin,P011,export,admin,desktop,office,0,1,9,"Access outside working hours, Export action (data leakage risk)",High Risk
2026-02-01 13:22:52,U301,admin,P044,export,admin,desktop,office,0,13,6,Export action (data leakage risk),Suspicious
2026-02-01 11:35:30,U301,admin,P160,export,admin,mobile,office,0,11,7,"Export action (data leakage risk), Access from mobile device",Suspicious
